municipio,Latitude,Longitude
Abrantes,39.4629232,-8.1976171
Aguiar da Beira,40.81718,-7.54312
Alandroal,38.60240485,-7.384427441025773
Albergaria-a-velha,40.6906888,-8.4792205
Albufeira,37.088241,-8.2526339
Alcanena,39.4585519,-8.6697497
Alcobaça,39.5519199,-8.9763396
Alcochete,38.7560499,-8.9608437
Alcoutim,37.402329300000005,-7.669049938495098
Alcácer do Sal,38.3729735,-8.5122705
Alenquer,39.056633,-9.0076057
Alfândega da fé,41.3419743,-6.9611439
Alijó,41.2768619,-7.4753795
Aljezur,37.3151549,-8.8040533
Aljustrel,37.89032505,-8.196352126164136
Almada,38.6831302,-9.1576301
Almeida,40.7260772,-6.9065743
Almeirim,39.2091925,-8.6291035
Almodôvar,37.511607,-8.0603168
Alpiarça,39.2599352,-8.5845144
Alter do Chão,39.2001177,-7.659037
Alvaiázere,39.816133300000004,-8.402050612289344
Alvito,38.255967,-7.9918028
Amadora,38.758959,-9.2365233
Amarante,41.2699316,-8.0804563
Amares,41.6517472,-8.344647950639603
Anadia,40.4426833,-8.4359581
Angra do Heroísmo,38.6593167,-27.2195578
Ansião,39.9113771,-8.4359857
Arcos de Valdevez,41.8471981,-8.417882
Arganil,40.2202451,-7.980700223101081
Armamar,41.1077323,-7.691601
Arouca,40.9289214,-8.2441746
Arraiolos,38.7227289,-7.9853053
Arronches,39.122106,-7.2853362
Arruda Dos Vinhos,38.98303,-9.07763
Aveiro,40.640496,-8.6537841
Avis,39.0559501,-7.8897441
Azambuja,39.0689884,-8.8684921
Baião,41.1616306,-8.0355439
Barcelos,41.5314496,-8.6192306
Barrancos,38.1315902,-6.9779893
Barreiro,38.6340657,-9.047855912091004
Batalha,39.6578998,-8.8243713
Beja,38.0154479,-7.8650368
Belmonte,40.3583264,-7.3512742
Benavente,38.9826508,-8.8095788
Bombarral,39.2670652,-9.1584324
Borba,38.8057942,-7.4542105
Boticas,41.6881921,-7.6645346
Braga,41.5510583,-8.4280045
Bragança,41.5084468,-6.773302360533066
Cabeceiras de Basto,41.5136392,-7.9878132
Cadaval,39.242859,-9.1026628
Caldas da Rainha,39.4071857,-9.1346004
Calheta,38.6055151,-28.0187906
Caminha,41.8757598,-8.8388375
Campo Maior,39.0125063,-7.0692822
Cantanhede,40.3461879,-8.5940128
Carrazeda de Ansiães,41.2435491,-7.3054015
Carregal do Sal,40.4334074,-8.0030203
Cartaxo,39.1619462,-8.7863222
Cascais,38.6968919,-9.4204495
Castanheira de Pêra,40.0047265,-8.2091368
Castelo Branco,39.97675825,-7.446059929966704
Castelo de Paiva,41.0410042,-8.271775
Castelo de Vide,39.4152274,-7.4554188
Castro Daire,40.9014091,-7.9311761
Castro Marim,37.2179367,-7.4457102
Castro Verde,37.697995,-8.082275
Celorico da Beira,40.6358841,-7.3928446
Celorico de Basto,41.3879363,-8.0002089
Chamusca,39.3560025,-8.4802892
Chaves,41.7399003,-7.4715213
Cinfães,41.03267975,-8.108007450852401
Coimbra,40.2111931,-8.4294632
Condeixa-a-nova,40.1138729,-8.4986318
Constância,39.4750609,-8.33819
Coruche,38.958218,-8.5283498
